浙江电信-组播1,#genre#
BESTV4K纪录,http://zjhuct.synology.me:8881/udp/233.50.200.182:5140$2160p
BRTV卡酷少儿,http://zjhuct.synology.me:8881/udp/233.50.200.166:5140$1080p
BRTV卡酷少儿,http://zjhuct.synology.me:8881/udp/233.50.202.33:5140$1080p
BRTV纪实科教,http://zjhuct.synology.me:8881/udp/233.50.202.34:5140$1080p
CCTV-1 综合,http://zjhuct.synology.me:8881/udp/233.50.200.130:5140$1080p
CCTV-1 综合,http://zjhuct.synology.me:8881/udp/233.50.200.143:5140$1080p
CCTV-1 综合,http://zjhuct.synology.me:8881/udp/233.50.200.176:5140$576p
CCTV-1 综合,http://zjhuct.synology.me:8881/udp/233.50.200.178:5140$576p
CCTV-1 综合,http://zjhuct.synology.me:8881/udp/233.50.200.223:5140$576p
CCTV-1 综合,http://zjhuct.synology.me:8881/udp/233.50.200.228:5140$576p
CCTV-1 综合,http://zjhuct.synology.me:8881/udp/233.50.200.248:5140$576p
CCTV-1 综合,http://zjhuct.synology.me:8881/udp/233.50.200.72:5140$576p
CCTV-1 综合,http://zjhuct.synology.me:8881/udp/233.50.200.99:5140$1080p
CCTV-1 综合,http://zjhuct.synology.me:8881/udp/233.50.201.118:5140
CCTV-1 综合,http://zjhuct.synology.me:8881/udp/233.50.201.1:5140$576p
CCTV-1 综合,http://zjhuct.synology.me:8881/udp/233.50.201.221:5140
CCTV-1 综合,http://zjhuct.synology.me:8881/udp/233.50.201.222:5140
CCTV-2 财经,http://zjhuct.synology.me:8881/udp/233.50.200.100:5140$1080p
CCTV-2 财经,http://zjhuct.synology.me:8881/udp/233.50.200.25:5140$1080p
CCTV-2 财经,http://zjhuct.synology.me:8881/udp/233.50.200.47:5140$576p
CCTV-2 财经,http://zjhuct.synology.me:8881/udp/233.50.201.119:5140
CCTV-2 财经,http://zjhuct.synology.me:8881/udp/233.50.201.2:5140$576p
CCTV-3 综艺,http://zjhuct.synology.me:8881/udp/233.50.200.107:5140$1080p
