河南电信-组播1,#genre#
新乡县综合,http://1.192.242.239:8188/rtp/239.16.20.18:10180
新乡新闻综合,http://1.192.242.239:8188/rtp/239.16.20.139:11390
新县综合,http://1.192.242.239:8188/rtp/239.16.20.183:11830
新密综合,http://1.192.242.239:8188/rtp/239.16.10.31:2000$1080p
新密综合,http://1.192.242.239:8188/rtp/239.16.20.41:10410
新蔡综合,http://1.192.242.239:8188/rtp/239.16.10.45:2000$1080p
新蔡综合,http://1.192.242.239:8188/rtp/239.16.20.49:10490
新视觉,http://1.192.242.239:8188/rtp/239.16.10.242:2000$1080p
新视觉,http://1.192.242.239:8188/rtp/239.16.20.113:11130
新郑综合,http://1.192.242.239:8188/rtp/239.16.10.35:2000$1080p
新郑综合,http://1.192.242.239:8188/rtp/239.16.20.45:10450
方城综合,http://1.192.242.239:8188/rtp/239.16.10.228:2000$576p
杞县新闻综合,http://1.192.242.239:8188/rtp/239.16.10.80:2000$1080p
永城新闻综合,http://1.192.242.239:8188/rtp/239.16.10.93:2000$1080p
汝阳综合,http://1.192.242.239:8188/rtp/239.16.20.207:12070
洛阳文旅,http://1.192.242.239:8188/rtp/239.16.20.178:11780
洛阳新闻综合,http://1.192.242.239:8188/rtp/239.16.20.179:11790
洛阳科教,http://1.192.242.239:8188/rtp/239.16.20.177:11770
济源综合,http://1.192.242.239:8188/rtp/239.16.20.174:11740
淅川综合,http://1.192.242.239:8188/rtp/239.16.10.38:2000$720p
淅川综合,http://1.192.242.239:8188/rtp/239.16.20.48:10480
淇县综合,http://1.192.242.239:8188/rtp/239.16.20.205:12050
渑池新闻综合,http://1.192.242.239:8188/rtp/239.16.20.135:11350
渑池新闻综合,http://1.192.242.239:8188/rtp/239.16.20.47:10470
漯河新闻综合,http://1.192.242.239:8188/rtp/239.16.10.49:2000$1080p
濮阳新闻综合,http://1.192.242.239:8188/rtp/239.16.20.175:11750
濮阳公共,http://1.192.242.239:8188/rtp/239.16.20.184:11840
灵宝综合,http://1.192.242.239:8188/rtp/239.16.20.59:10590
焦作综合,http://1.192.242.239:8188/rtp/239.16.20.140:11400
焦作文旅,http://1.192.242.239:8188/rtp/239.16.20.155:11550
沈丘综合,http://1.192.242.239:8188/rtp/239.16.10.146:2000$576p
泌阳新闻综合,http://1.192.242.239:8188/rtp/239.16.10.195:2000$576p
登封综合,http://1.192.242.239:8188/rtp/239.16.10.32:2000$1080p
登封综合,http://1.192.242.239:8188/rtp/239.16.20.42:10420
