山东联通-组播1,#genre#
央视网CCTV-4 中文国际,http://39.77.161.85:4002/udp/239.253.254.208:8000
央视网CCTV-5 体育,http://39.77.161.85:4002/udp/239.253.254.131:8000
央视网CCTV-5 体育,http://39.77.161.85:4002/udp/239.253.254.192:8000
央视网CCTV-7 国防军事,http://39.77.161.85:4002/udp/239.253.254.207:8000
央视网CCTV-10 科教,http://39.77.161.85:4002/udp/239.253.254.137:8000
央视网CCTV-10 科教,http://39.77.161.85:4002/udp/239.253.254.214:8000
央视网CCTV-10 科教,http://39.77.161.85:4002/udp/239.253.254.226:8000
央视网CCTV-10 科教,http://39.77.161.85:4002/udp/239.253.254.227:8000
央视网CCTV-11 戏曲,http://39.77.161.85:4002/udp/239.253.254.224:8000
央视网CCTV-12 社会与法,http://39.77.161.85:4002/udp/239.253.254.138:8000
