陕西电信-组播1,#genre#
河南卫视,http://1.83.123.170:8888/rtp/239.109.205.32:8184
河南卫视,http://1.83.123.170:8888/rtp/239.112.205.180:5140
河南卫视,http://1.83.123.170:8888/rtp/239.112.205.43:5140
浙江卫视,http://1.83.123.170:8888/rtp/239.109.205.120:8896
浙江卫视,http://1.83.123.170:8888/rtp/239.109.205.23:8112
浙江卫视,http://1.83.123.170:8888/rtp/239.112.205.31:5140
浙江卫视,http://1.83.123.170:8888/rtp/239.112.205.64:5140
深圳卫视,http://1.83.123.170:8888/rtp/239.109.205.163:9002
深圳卫视,http://1.83.123.170:8888/rtp/239.109.205.189:9602
深圳卫视,http://1.83.123.170:8888/rtp/239.109.205.43:8280
深圳卫视,http://1.83.123.170:8888/rtp/239.112.205.34:5140
深圳卫视,http://1.83.123.170:8888/rtp/239.112.205.67:5140
湖北卫视,http://1.83.123.170:8888/rtp/239.109.205.165:9006
湖北卫视,http://1.83.123.170:8888/rtp/239.109.205.28:8152
湖北卫视,http://1.83.123.170:8888/rtp/239.112.205.36:5140
湖北卫视,http://1.83.123.170:8888/rtp/239.112.205.69:5140
湖南卫视,http://1.83.123.170:8888/rtp/239.109.205.27:8144
湖南卫视,http://1.83.123.170:8888/rtp/239.112.205.29:5140
湖南卫视,http://1.83.123.170:8888/rtp/239.112.205.62:5140
甘肃卫视,http://1.83.123.170:8888/rtp/239.109.205.125:8936
甘肃卫视,http://1.83.123.170:8888/rtp/239.111.205.88:5140
甘肃卫视,http://1.83.123.170:8888/rtp/239.112.205.48:5140
西藏卫视,http://1.83.123.170:8888/rtp/239.109.205.45:8296
西藏卫视,http://1.83.123.170:8888/rtp/239.111.205.58:5140
西藏卫视,http://1.83.123.170:8888/rtp/239.112.205.54:5140
贵州卫视,http://1.83.123.170:8888/rtp/239.109.205.139:9024
贵州卫视,http://1.83.123.170:8888/rtp/239.109.205.40:8248
贵州卫视,http://1.83.123.170:8888/rtp/239.112.205.178:5140
贵州卫视,http://1.83.123.170:8888/rtp/239.112.205.47:5140
辽宁卫视,http://1.83.123.170:8888/rtp/239.109.205.34:8200
辽宁卫视,http://1.83.123.170:8888/rtp/239.110.205.12:9794
辽宁卫视,http://1.83.123.170:8888/rtp/239.112.205.52:5140
辽宁卫视,http://1.83.123.170:8888/rtp/239.112.205.73:5140
重庆卫视,http://1.83.123.170:8888/rtp/239.109.205.30:8168
重庆卫视,http://1.83.123.170:8888/rtp/239.109.205.70:8496
重庆卫视,http://1.83.123.170:8888/rtp/239.112.205.179:5140
重庆卫视,http://1.83.123.170:8888/rtp/239.112.205.40:5140
青海卫视,http://1.83.123.170:8888/rtp/239.109.205.44:8288
青海卫视,http://1.83.123.170:8888/rtp/239.109.205.77:8552
青海卫视,http://1.83.123.170:8888/rtp/239.111.205.105:5140
青海卫视,http://1.83.123.170:8888/rtp/239.112.205.53:5140
黑龙江卫视,http://1.83.123.170:8888/rtp/239.109.205.190:9604
黑龙江卫视,http://1.83.123.170:8888/rtp/239.109.205.36:8216
黑龙江卫视,http://1.83.123.170:8888/rtp/239.112.205.35:5140
黑龙江卫视,http://1.83.123.170:8888/rtp/239.112.205.68:5140
陕西卫视,http://1.83.123.170:8888/rtp/239.109.205.107:8792
陕西卫视,http://1.83.123.170:8888/rtp/239.111.205.35:5140
陕西卫视,http://1.83.123.170:8888/rtp/239.112.205.17:5140
陕西秦腔,http://1.83.123.170:8888/rtp/239.109.205.6:9152
陕西秦腔,http://1.83.123.170:8888/rtp/239.111.205.100:5140
陕西秦腔,http://1.83.123.170:8888/rtp/239.112.205.22:5140
陕西西部电影,http://1.83.123.170:8888/rtp/239.109.205.217:9706
