北京移动-组播1,#genre#
新疆卫视,http://39.157.74.142:9926/rtp/228.1.1.56:8160
云南卫视,http://39.157.74.142:9926/rtp/228.1.1.44:8108
浙江卫视,http://39.157.74.142:9926/rtp/228.1.1.13:8036
大湾区卫视,http://39.157.74.142:9926/rtp/228.1.1.142:8002
BRTV新闻,http://39.157.74.142:9926/rtp/228.1.1.189:8000
BRTV影视,http://39.157.74.142:9926/rtp/228.1.1.190:8000
BRTV文艺,http://39.157.74.142:9926/rtp/228.1.1.116:8000
BRTV财经,http://39.157.74.142:9926/rtp/228.1.1.197:8000
BRTV生活,http://39.157.74.142:9926/rtp/228.1.1.198:8000
BRTV纪实科教,http://39.157.74.142:9926/rtp/228.1.1.196:8000
BRTV卡酷少儿,http://39.157.74.142:9926/rtp/228.1.1.195:8000
BRTV体育休闲,http://39.157.74.142:9926/rtp/228.1.1.117:8000
BRTV国际,http://39.157.74.142:9926/rtp/228.1.1.111:8000
BRTV8K,http://39.157.74.142:9926/rtp/228.1.1.217:8002
北京IPTV4K超清,http://39.157.74.142:9926/rtp/228.1.1.123:8001
北京淘剧场,http://39.157.74.142:9926/rtp/228.1.1.126:8001
北京淘电影,http://39.157.74.142:9926/rtp/228.1.1.124:8001
北京萌宠TV,http://39.157.74.142:9926/rtp/228.1.1.135:8002
通州综合,http://39.157.74.142:9926/rtp/228.1.1.139:8001
朝阳融媒,http://39.157.74.142:9926/rtp/228.1.1.140:8001
IPTV古装剧场,http://39.157.74.142:9926/rtp/228.1.1.150:4120
IPTV光影,http://39.157.74.142:9926/rtp/228.1.1.165:4120
IPTV军事,http://39.157.74.142:9926/rtp/228.1.1.157:4120
IPTV军旅剧场,http://39.157.74.142:9926/rtp/228.1.1.149:4120
IPTV动作影院,http://39.157.74.142:9926/rtp/228.1.1.173:4120
IPTV动画,http://39.157.74.142:9926/rtp/228.1.1.161:4120
IPTV台球,http://39.157.74.142:9926/rtp/228.1.1.166:4120
IPTV城市剧场,http://39.157.74.142:9926/rtp/228.1.1.148:4120
