河南联通-组播1,#genre#
武术世界,http://123.10.78.181:40000/rtp/225.1.4.101:1130
郑州新闻综合,http://123.10.78.181:40000/rtp/225.1.4.140:1176
郑州商都,http://123.10.78.181:40000/rtp/225.1.4.141:1177
郑州文体旅游,http://123.10.78.181:40000/rtp/225.1.4.142:1178
郑州豫剧,http://123.10.78.181:40000/rtp/225.1.4.146:1182
郑州妇女儿童,http://123.10.78.181:40000/rtp/225.1.4.147:1183
郑州都市生活,http://123.10.78.181:40000/rtp/225.1.4.149:1185
郑州教育,http://123.10.78.181:40000/rtp/225.1.4.191:1241
新密综合,http://123.10.78.181:40000/rtp/225.1.4.239:1285
登封综合,http://123.10.78.181:40000/rtp/225.1.4.240:1286
巩义综合,http://123.10.78.181:40000/rtp/225.1.5.50:1360
新郑综合,http://123.10.78.181:40000/rtp/225.1.4.243:1289
信阳新闻综合,http://123.10.78.181:40000/rtp/225.1.4.130:1166
信阳文旅,http://123.10.78.181:40000/rtp/225.1.4.137:1173
洛阳新闻综合,http://123.10.78.181:40000/rtp/225.1.4.104:1133
洛阳新闻综合,http://123.10.78.181:40000/rtp/225.1.4.107:1135
洛阳科教,http://123.10.78.181:40000/rtp/225.1.4.105:1134
洛阳文旅,http://123.10.78.181:40000/rtp/225.1.4.106:1135
淅川综合,http://123.10.78.181:40000/rtp/225.1.4.112:1292
孟津综合,http://123.10.78.181:40000/rtp/225.1.5.22:1333
宜阳综合,http://123.10.78.181:40000/rtp/225.1.5.47:1357
嵩县综合,http://123.10.78.181:40000/rtp/225.1.5.23:1335
焦作综合,http://123.10.78.181:40000/rtp/225.1.4.128:1164
焦作文旅,http://123.10.78.181:40000/rtp/225.1.4.129:1165
济源综合,http://123.10.78.181:40000/rtp/225.1.4.118:1147
许昌综合,http://123.10.78.181:40000/rtp/225.1.4.108:1137
许昌农业科教,http://123.10.78.181:40000/rtp/225.1.4.110:1139
禹州综合,http://123.10.78.181:40000/rtp/225.1.4.238:1284
临颍综合,http://123.10.78.181:40000/rtp/225.1.5.26:1337
驻马店新闻综合,http://123.10.78.181:40000/rtp/225.1.4.132:1168
驻马店公共,http://123.10.78.181:40000/rtp/225.1.4.136:1172
