湖南电信-组播1,#genre#
辽宁卫视,http://113.221.59.169:4000/rtp/239.76.252.197:9000$1080p
辽宁卫视,http://113.221.59.169:4000/rtp/239.76.252.89:9000$576p
重庆卫视,http://113.221.59.169:4000/rtp/239.76.246.92:1234$1080p
重庆卫视,http://113.221.59.169:4000/rtp/239.76.252.97:9000$576p
重庆卫视,http://113.221.59.169:4000/rtp/239.76.253.92:9000$1080p
陕西卫视,http://113.221.59.169:4000/rtp/239.76.252.104:9000$576p
陕西卫视,http://113.221.59.169:4000/rtp/239.76.254.76:9000
青海卫视,http://113.221.59.169:4000/rtp/239.76.252.113:9000$576p
青海卫视,http://113.221.59.169:4000/rtp/239.76.254.132:9000
黑龙江卫视,http://113.221.59.169:4000/rtp/239.76.246.200:1234$1080p
黑龙江卫视,http://113.221.59.169:4000/rtp/239.76.252.100:9000$576p
黑龙江卫视,http://113.221.59.169:4000/rtp/239.76.253.200:9000$1080p
湖南卫视,http://113.221.59.169:4000/rtp/239.76.245.115:1234$1080p
湖南卫视,http://113.221.59.169:4000/rtp/239.76.246.101:1234$1080p
湖南卫视,http://113.221.59.169:4000/rtp/239.76.252.115:9000$1080p
湖南卫视,http://113.221.59.169:4000/rtp/239.76.252.1:9000$576p
湖南卫视,http://113.221.59.169:4000/rtp/239.76.253.101:9000$1080p
湖南国际,http://113.221.59.169:4000/rtp/239.76.245.124:1234$1080p
湖南国际,http://113.221.59.169:4000/rtp/239.76.246.102:1234$1080p
湖南国际,http://113.221.59.169:4000/rtp/239.76.252.124:9000$1080p
湖南国际,http://113.221.59.169:4000/rtp/239.76.252.240:9000$1080p
湖南国际,http://113.221.59.169:4000/rtp/239.76.252.2:9000$576p
湖南国际,http://113.221.59.169:4000/rtp/239.76.253.102:9000$1080p
湖南国际,http://113.221.59.169:4000/rtp/239.76.246.224:1234$720p
湖南娱乐,http://113.221.59.169:4000/rtp/239.76.245.121:1234$1080p
湖南娱乐,http://113.221.59.169:4000/rtp/239.76.246.105:1234$1080p
湖南娱乐,http://113.221.59.169:4000/rtp/239.76.252.121:9000$1080p
湖南娱乐,http://113.221.59.169:4000/rtp/239.76.252.5:9000$576p
湖南娱乐,http://113.221.59.169:4000/rtp/239.76.253.105:9000$1080p
湖南教育,http://113.221.59.169:4000/rtp/239.76.245.233:1234$1080p
湖南教育,http://113.221.59.169:4000/rtp/239.76.252.233:9000$1080p
湖南教育,http://113.221.59.169:4000/rtp/239.76.252.26:9000$576p
湖南爱晚,http://113.221.59.169:4000/rtp/239.76.245.123:1234$1080p
湖南爱晚,http://113.221.59.169:4000/rtp/239.76.246.109:1234
湖南爱晚,http://113.221.59.169:4000/rtp/239.76.252.123:9000$1080p
湖南爱晚,http://113.221.59.169:4000/rtp/239.76.252.9:9000$576p
湖南爱晚,http://113.221.59.169:4000/rtp/239.76.253.109:9000
湖南电影,http://113.221.59.169:4000/rtp/239.76.245.119:1234$1080p
湖南电影,http://113.221.59.169:4000/rtp/239.76.246.106:1234$1080p
湖南电影,http://113.221.59.169:4000/rtp/239.76.252.119:9000$1080p
湖南电影,http://113.221.59.169:4000/rtp/239.76.252.6:9000$576p
湖南电影,http://113.221.59.169:4000/rtp/239.76.253.106:9000$1080p
湖南电视剧,http://113.221.59.169:4000/rtp/239.76.245.118:1234$1080p
湖南电视剧,http://113.221.59.169:4000/rtp/239.76.246.108:1234$1080p
湖南电视剧,http://113.221.59.169:4000/rtp/239.76.252.118:9000$1080p
湖南电视剧,http://113.221.59.169:4000/rtp/239.76.252.8:9000$576p
