河北电信-组播1,#genre#
CCTV-3 综艺,http://106.8.17.2:14258/rtp/239.254.201.65:6000
CCTV-4 中文国际,http://106.8.17.2:14258/rtp/239.254.200.190:6307
CCTV-4 欧洲,http://106.8.17.2:14258/rtp/239.254.201.205:4220
CCTV-4 美洲,http://106.8.17.2:14258/rtp/239.254.201.206:4220
CCTV-5 体育,http://106.8.17.2:14258/rtp/239.254.200.14:6000
CCTV-5 体育,http://106.8.17.2:14258/rtp/239.254.201.153:7206
CCTV-5+ 体育赛事,http://106.8.17.2:14258/rtp/239.254.200.46:8004
CCTV-6 电影,http://106.8.17.2:14258/rtp/239.254.200.15:6000
CCTV-6 电影,http://106.8.17.2:14258/rtp/239.254.201.154:7207
CCTV-7 国防军事,http://106.8.17.2:14258/rtp/239.254.200.159:6000
CCTV-8 电视剧,http://106.8.17.2:14258/rtp/239.254.200.16:6000
CCTV-8 电视剧,http://106.8.17.2:14258/rtp/239.254.201.155:7208
CCTV-9 纪录,http://106.8.17.2:14258/rtp/239.254.200.59:8112
CCTV-10 科教,http://106.8.17.2:14258/rtp/239.254.200.160:6000
CCTV-11 戏曲,http://106.8.17.2:14258/rtp/239.254.201.123:8120
CCTV-12 社会与法,http://106.8.17.2:14258/rtp/239.254.200.161:6000
CCTV-13 新闻,http://106.8.17.2:14258/rtp/239.254.200.9:8264
CCTV-14 少儿,http://106.8.17.2:14258/rtp/239.254.200.162:6000
CCTV-15 音乐,http://106.8.17.2:14258/rtp/239.254.201.124:8136
CCTV-16 奥林匹克,http://106.8.17.2:14258/rtp/239.254.200.7:6346
CCTV-16 奥林匹克,http://106.8.17.2:14258/rtp/239.254.201.150:6345
CCTV-17 农业农村,http://106.8.17.2:14258/rtp/239.254.201.120:8144
CCTV4K,http://106.8.17.2:14258/rtp/239.254.201.67:6000
CCTV世界地理,http://106.8.17.2:14258/rtp/239.254.200.102:6236
CCTV世界地理,http://106.8.17.2:14258/rtp/239.254.201.226:7254
CCTV兵器科技,http://106.8.17.2:14258/rtp/239.254.200.101:6235
CCTV兵器科技,http://106.8.17.2:14258/rtp/239.254.201.225:7249
CCTV央视台球,http://106.8.17.2:14258/rtp/239.254.201.171:7176
