宁夏电信-组播1,#genre#
IPTV高网,http://111.113.150.188:9999/rtp/239.121.5.239:4120
直播室101,http://111.113.150.188:9999/rtp/239.121.5.64:5140
直播室102,http://111.113.150.188:9999/rtp/239.121.5.201:5140
直播室103,http://111.113.150.188:9999/rtp/239.121.5.34:5140
直播室104,http://111.113.150.188:9999/rtp/239.121.5.41:5140
直播室105,http://111.113.150.188:9999/rtp/239.121.5.31:5140
直播室106,http://111.113.150.188:9999/rtp/239.121.5.27:5140
直播室107,http://111.113.150.188:9999/rtp/239.121.5.4:5140
直播室108,http://111.113.150.188:9999/rtp/239.121.5.16:5140
直播室109,http://111.113.150.188:9999/rtp/239.121.5.11:5140
直播室110,http://111.113.150.188:9999/rtp/239.121.5.1:5140
直播室111,http://111.113.150.188:9999/rtp/239.121.5.29:5140
直播室201,http://111.113.150.188:9999/rtp/239.121.4.127:8744
直播室202,http://111.113.150.188:9999/rtp/239.121.4.128:8750
直播室203,http://111.113.150.188:9999/rtp/239.121.4.129:8756
直播室204,http://111.113.150.188:9999/rtp/239.121.4.130:8762
直播室205,http://111.113.150.188:9999/rtp/239.121.4.131:8768
直播室206,http://111.113.150.188:9999/rtp/239.121.4.132:8774
直播室207,http://111.113.150.188:9999/rtp/239.121.4.133:8780
直播室208,http://111.113.150.188:9999/rtp/239.121.4.146:8858
直播室209,http://111.113.150.188:9999/rtp/239.121.4.147:8864
直播室210,http://111.113.150.188:9999/rtp/239.121.4.148:8870
直播室211,http://111.113.150.188:9999/rtp/239.121.4.149:8876
